Sub-subheading,Subheading,Main Heading,Links,Full Links
Sexual transmission and infertility,Sexual transmission and infertility,Disease spread,"['/wiki/Semen', '/wiki/Human_reproductive_system', '/wiki/Ebolavirus', '/wiki/Zika_virus', '/wiki/Azoospermia', '/wiki/Oligospermia', '/wiki/Spermatogonium', '/wiki/List_of_unproven_methods_against_COVID-19', '/wiki/Face_masks_during_the_COVID-19_pandemic']","['https://en.wikipedia.org/wiki/Semen', 'https://en.wikipedia.org/wiki/Human_reproductive_system', 'https://en.wikipedia.org/wiki/Ebolavirus', 'https://en.wikipedia.org/wiki/Zika_virus', 'https://en.wikipedia.org/wiki/Azoospermia', 'https://en.wikipedia.org/wiki/Oligospermia', 'https://en.wikipedia.org/wiki/Spermatogonium', 'https://en.wikipedia.org/wiki/List_of_unproven_methods_against_COVID-19', 'https://en.wikipedia.org/wiki/Face_masks_during_the_COVID-19_pandemic']"
"Hand sanitizer, antibacterial soaps","Hand sanitizer, antibacterial soaps",Prevention,"['/wiki/Hand_sanitizer', '/wiki/Antibacterial_soap']","['https://en.wikipedia.org/wiki/Hand_sanitizer', 'https://en.wikipedia.org/wiki/Antibacterial_soap']"
Public use of face masks,Public use of face masks,Prevention,"['/wiki/Face_masks_during_the_COVID-19_pandemic', '/wiki/U.S._Surgeon_General', '/wiki/Jerome_Adams', '/wiki/U.S._Surgeon_General', '/wiki/Jerome_Adams', '/wiki/Anthony_Fauci', '/wiki/White_House_Coronavirus_Task_Force', '/wiki/Neck_gaiter#2020', '/wiki/Neck_gaiter', '/wiki/Spandex', '/wiki/Warren_S._Warren', '/wiki/Hypoxemia', '/wiki/Hypercapnia', '/wiki/Antibiotic-resistant', '/wiki/Pneumonia', '/wiki/Americans_with_Disabilities_Act', '/wiki/United_States_Department_of_Justice']","['https://en.wikipedia.org/wiki/Face_masks_during_the_COVID-19_pandemic', 'https://en.wikipedia.org/wiki/U.S._Surgeon_General', 'https://en.wikipedia.org/wiki/Jerome_Adams', 'https://en.wikipedia.org/wiki/U.S._Surgeon_General', 'https://en.wikipedia.org/wiki/Jerome_Adams', 'https://en.wikipedia.org/wiki/Anthony_Fauci', 'https://en.wikipedia.org/wiki/White_House_Coronavirus_Task_Force', 'https://en.wikipedia.org/wiki/Neck_gaiter#2020', 'https://en.wikipedia.org/wiki/Neck_gaiter', 'https://en.wikipedia.org/wiki/Spandex', 'https://en.wikipedia.org/wiki/Warren_S._Warren', 'https://en.wikipedia.org/wiki/Hypoxemia', 'https://en.wikipedia.org/wiki/Hypercapnia', 'https://en.wikipedia.org/wiki/Antibiotic-resistant', 'https://en.wikipedia.org/wiki/Pneumonia', 'https://en.wikipedia.org/wiki/Americans_with_Disabilities_Act', 'https://en.wikipedia.org/wiki/United_States_Department_of_Justice']"
"Alcohol, tobacco, and other drugs","Alcohol, tobacco, and other drugs",Prevention,"['/wiki/Short-term_effects_of_alcohol_consumption', '/wiki/Long-term_effects_of_alcohol', '/wiki/Drinking_alcohol', '/wiki/Ethanol', '/wiki/Hand_sanitizer', '/wiki/Wood_alcohol', '/wiki/Ethanol#Denatured_alcohol', '/wiki/Isopropanol', '/wiki/Methanol', '/wiki/Methanol_toxicity', '/wiki/Alcohol_in_Iran', '/wiki/Bootleg_alcohol', '/wiki/Bootleg_alcohol#Safety', '/wiki/Associated_Press', '/wiki/Mike_Sonko', '/wiki/Hennessy', '/wiki/Tobacco_smoking', '/wiki/Tobacco_smoking', '/wiki/Transdermal', '/wiki/Nicotine', '/wiki/French_Ministry_of_Health', '/wiki/World_Health_Organization']","['https://en.wikipedia.org/wiki/Short-term_effects_of_alcohol_consumption', 'https://en.wikipedia.org/wiki/Long-term_effects_of_alcohol', 'https://en.wikipedia.org/wiki/Drinking_alcohol', 'https://en.wikipedia.org/wiki/Ethanol', 'https://en.wikipedia.org/wiki/Hand_sanitizer', 'https://en.wikipedia.org/wiki/Wood_alcohol', 'https://en.wikipedia.org/wiki/Ethanol#Denatured_alcohol', 'https://en.wikipedia.org/wiki/Isopropanol', 'https://en.wikipedia.org/wiki/Methanol', 'https://en.wikipedia.org/wiki/Methanol_toxicity', 'https://en.wikipedia.org/wiki/Alcohol_in_Iran', 'https://en.wikipedia.org/wiki/Bootleg_alcohol', 'https://en.wikipedia.org/wiki/Bootleg_alcohol#Safety', 'https://en.wikipedia.org/wiki/Associated_Press', 'https://en.wikipedia.org/wiki/Mike_Sonko', 'https://en.wikipedia.org/wiki/Hennessy', 'https://en.wikipedia.org/wiki/Tobacco_smoking', 'https://en.wikipedia.org/wiki/Tobacco_smoking', 'https://en.wikipedia.org/wiki/Transdermal', 'https://en.wikipedia.org/wiki/Nicotine', 'https://en.wikipedia.org/wiki/French_Ministry_of_Health', 'https://en.wikipedia.org/wiki/World_Health_Organization']"
Warm or hot drinks,Warm or hot drinks,Prevention,"['/wiki/Alberto_Fernández', '/wiki/Oral_mucosa']","['https://en.wikipedia.org/wiki/Alberto_Fernández', 'https://en.wikipedia.org/wiki/Oral_mucosa']"
Religious protection,Religious protection,Prevention,"['/wiki/River_of_Grace_Community_Church', '/wiki/Shincheonji_Church_of_Jesus', '/wiki/Daegu', '/wiki/John_Magufuli', '/wiki/Body_of_Christ', '/wiki/Church_of_Greece', '/wiki/Holy_Communion', '/wiki/Holy_Synod#The_Greek_Holy_Synod', '/wiki/Tablighi_Jamaat', '/wiki/Ijtema', '/wiki/2020_Tablighi_Jamaat_COVID-19_hotspot_in_Malaysia', '/wiki/2020_Tablighi_Jamaat_coronavirus_hotspot_in_Delhi', '/wiki/2020_Tablighi_Jamaat_coronavirus_hotspot_in_Pakistan', '/wiki/Fatima_Masumeh_Shrine', '/wiki/Somalia', '/wiki/Muslims']","['https://en.wikipedia.org/wiki/River_of_Grace_Community_Church', 'https://en.wikipedia.org/wiki/Shincheonji_Church_of_Jesus', 'https://en.wikipedia.org/wiki/Daegu', 'https://en.wikipedia.org/wiki/John_Magufuli', 'https://en.wikipedia.org/wiki/Body_of_Christ', 'https://en.wikipedia.org/wiki/Church_of_Greece', 'https://en.wikipedia.org/wiki/Holy_Communion', 'https://en.wikipedia.org/wiki/Holy_Synod#The_Greek_Holy_Synod', 'https://en.wikipedia.org/wiki/Tablighi_Jamaat', 'https://en.wikipedia.org/wiki/Ijtema', 'https://en.wikipedia.org/wiki/2020_Tablighi_Jamaat_COVID-19_hotspot_in_Malaysia', 'https://en.wikipedia.org/wiki/2020_Tablighi_Jamaat_coronavirus_hotspot_in_Delhi', 'https://en.wikipedia.org/wiki/2020_Tablighi_Jamaat_coronavirus_hotspot_in_Pakistan', 'https://en.wikipedia.org/wiki/Fatima_Masumeh_Shrine', 'https://en.wikipedia.org/wiki/Somalia', 'https://en.wikipedia.org/wiki/Muslims']"
Helicopter spraying,Helicopter spraying,Prevention,"['/wiki/Sri_Lanka', '/wiki/Philippines', '/wiki/India']","['https://en.wikipedia.org/wiki/Sri_Lanka', 'https://en.wikipedia.org/wiki/Philippines', 'https://en.wikipedia.org/wiki/India']"
Food,Food,Prevention,"['/wiki/World_Health_Organization', '/wiki/Datura', '/wiki/TikTok', '/wiki/Vegetarian']","['https://en.wikipedia.org/wiki/World_Health_Organization', 'https://en.wikipedia.org/wiki/Datura', 'https://en.wikipedia.org/wiki/TikTok', 'https://en.wikipedia.org/wiki/Vegetarian']"
Vitamin D,Vitamin D,Prevention,"['/wiki/Vitamin_D#COVID-19', '/wiki/COVID-19_drug_repurposing_research#Vitamin_D', '/wiki/Vitamin_D', '/wiki/COVID-19_pandemic_in_Thailand', '/wiki/Intensive_care', '/wiki/National_Institute_for_Health_and_Care_Excellence', '/wiki/COVID-19_vaccine_misinformation_and_hesitancy', '/wiki/Misinformation_related_to_vaccination', '/wiki/Vaccine_hesitancy', '/wiki/London', '/wiki/Anti-vaccination', '/wiki/Conspiracy_theory', '/wiki/Misinformation', '/wiki/COVID-19_vaccine', '/wiki/Richard_Epstein', '/wiki/Hashtag', '/wiki/Hoax', '/wiki/List_of_unproven_methods_against_COVID-19']","['https://en.wikipedia.org/wiki/Vitamin_D#COVID-19', 'https://en.wikipedia.org/wiki/COVID-19_drug_repurposing_research#Vitamin_D', 'https://en.wikipedia.org/wiki/Vitamin_D', 'https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Thailand', 'https://en.wikipedia.org/wiki/Intensive_care', 'https://en.wikipedia.org/wiki/National_Institute_for_Health_and_Care_Excellence', 'https://en.wikipedia.org/wiki/COVID-19_vaccine_misinformation_and_hesitancy', 'https://en.wikipedia.org/wiki/Misinformation_related_to_vaccination', 'https://en.wikipedia.org/wiki/Vaccine_hesitancy', 'https://en.wikipedia.org/wiki/London', 'https://en.wikipedia.org/wiki/Anti-vaccination', 'https://en.wikipedia.org/wiki/Conspiracy_theory', 'https://en.wikipedia.org/wiki/Misinformation', 'https://en.wikipedia.org/wiki/COVID-19_vaccine', 'https://en.wikipedia.org/wiki/Richard_Epstein', 'https://en.wikipedia.org/wiki/Hashtag', 'https://en.wikipedia.org/wiki/Hoax', 'https://en.wikipedia.org/wiki/List_of_unproven_methods_against_COVID-19']"
Herbal treatments,Herbal treatments,Treatment,"['/wiki/Chinese_Academy_of_Sciences', '/wiki/Shuanghuanglian', '/wiki/Traditional_Chinese_medicine', '/wiki/Madagascar', '/wiki/Andry_Rajoelina', '/wiki/Artemisia_(genus)', '/wiki/Echinacea', '/wiki/Virucidal', '/wiki/Coronavirus', '/wiki/SARS-CoV-2', '/wiki/Cell_culture']","['https://en.wikipedia.org/wiki/Chinese_Academy_of_Sciences', 'https://en.wikipedia.org/wiki/Shuanghuanglian', 'https://en.wikipedia.org/wiki/Traditional_Chinese_medicine', 'https://en.wikipedia.org/wiki/Madagascar', 'https://en.wikipedia.org/wiki/Andry_Rajoelina', 'https://en.wikipedia.org/wiki/Artemisia_(genus)', 'https://en.wikipedia.org/wiki/Echinacea', 'https://en.wikipedia.org/wiki/Virucidal', 'https://en.wikipedia.org/wiki/Coronavirus', 'https://en.wikipedia.org/wiki/SARS-CoV-2', 'https://en.wikipedia.org/wiki/Cell_culture']"
Vitamin C,Vitamin C,Treatment,"['/wiki/Vitamin_C#COVID-19', '/wiki/COVID-19_pandemic', '/wiki/Vitamin_C', '/wiki/Quackery']","['https://en.wikipedia.org/wiki/Vitamin_C#COVID-19', 'https://en.wikipedia.org/wiki/COVID-19_pandemic', 'https://en.wikipedia.org/wiki/Vitamin_C', 'https://en.wikipedia.org/wiki/Quackery']"
Common cold and flu treatments,Common cold and flu treatments,Treatment,"['/wiki/Aspirin', '/wiki/Antihistamines', '/wiki/Coronavirus', '/wiki/Olivier_Véran', '/wiki/The_Lancet_Respiratory_Medicine', '/wiki/Ibuprofen', '/wiki/European_Medicines_Agency']","['https://en.wikipedia.org/wiki/Aspirin', 'https://en.wikipedia.org/wiki/Antihistamines', 'https://en.wikipedia.org/wiki/Coronavirus', 'https://en.wikipedia.org/wiki/Olivier_Véran', 'https://en.wikipedia.org/wiki/The_Lancet_Respiratory_Medicine', 'https://en.wikipedia.org/wiki/Ibuprofen', 'https://en.wikipedia.org/wiki/European_Medicines_Agency']"
Cow dung and urine,Cow dung and urine,Treatment,"['/wiki/Chakrapani_(politician)', '/wiki/Member_of_the_Legislative_Assembly_(India)', '/wiki/Suman_Haripriya', '/wiki/Manipur', '/wiki/National_Security_Act_(India)', '/wiki/Indian_Penal_Code', '/wiki/Soumya_Swaminathan_(scientist)']","['https://en.wikipedia.org/wiki/Chakrapani_(politician)', 'https://en.wikipedia.org/wiki/Member_of_the_Legislative_Assembly_(India)', 'https://en.wikipedia.org/wiki/Suman_Haripriya', 'https://en.wikipedia.org/wiki/Manipur', 'https://en.wikipedia.org/wiki/National_Security_Act_(India)', 'https://en.wikipedia.org/wiki/Indian_Penal_Code', 'https://en.wikipedia.org/wiki/Soumya_Swaminathan_(scientist)']"
2-Deoxy-D-glucose,2-Deoxy-D-glucose,Treatment,"['/wiki/2-Deoxy-D-glucose', '/wiki/Drugs_Controller_General_of_India', '/wiki/World_Health_Organization', '/wiki/DRDO', ""/wiki/Dr._Reddy's_Laboratories"", '/wiki/The_Wire_(India)', '/wiki/The_Hindu', '/wiki/Preprint']","['https://en.wikipedia.org/wiki/2-Deoxy-D-glucose', 'https://en.wikipedia.org/wiki/Drugs_Controller_General_of_India', 'https://en.wikipedia.org/wiki/World_Health_Organization', 'https://en.wikipedia.org/wiki/DRDO', ""https://en.wikipedia.org/wiki/Dr._Reddy's_Laboratories"", 'https://en.wikipedia.org/wiki/The_Wire_(India)', 'https://en.wikipedia.org/wiki/The_Hindu', 'https://en.wikipedia.org/wiki/Preprint']"
Traditional Chinese Medicine (TCM) prescriptions,Traditional Chinese Medicine (TCM) prescriptions,Treatment,"['/wiki/National_Health_Commission', '/wiki/Traditional_Chinese_medicine', '/wiki/China_Central_Television', '/wiki/State_media', ""/wiki/People's_Daily"", '/wiki/The_Daily_Telegraph']","['https://en.wikipedia.org/wiki/National_Health_Commission', 'https://en.wikipedia.org/wiki/Traditional_Chinese_medicine', 'https://en.wikipedia.org/wiki/China_Central_Television', 'https://en.wikipedia.org/wiki/State_media', ""https://en.wikipedia.org/wiki/People's_Daily"", 'https://en.wikipedia.org/wiki/The_Daily_Telegraph']"
Chloroquine and hydroxychloroquine,Chloroquine and hydroxychloroquine,Treatment,"['/wiki/COVID-19_drug_repurposing_research#Chloroquine_and_hydroxychloroquine', '/wiki/Hydroxychloroquine#COVID-19', '/wiki/Chloroquine#COVID-19', '/wiki/Chloroquine']","['https://en.wikipedia.org/wiki/COVID-19_drug_repurposing_research#Chloroquine_and_hydroxychloroquine', 'https://en.wikipedia.org/wiki/Hydroxychloroquine#COVID-19', 'https://en.wikipedia.org/wiki/Chloroquine#COVID-19', 'https://en.wikipedia.org/wiki/Chloroquine']"
Ivermectin,Ivermectin,Treatment,"['/wiki/Ivermectin_during_the_COVID-19_pandemic', '/wiki/Ivermectin', '/wiki/Antiparasitic', '/wiki/World_Health_Organization', '/wiki/European_Medicines_Agency', '/wiki/Food_and_Drug_Administration', '/wiki/Infectious_Diseases_Society_of_America', '/wiki/COVID-19', '/wiki/COVID-19_pandemic', '/wiki/Scientific_misconduct', '/wiki/Cause_célèbre', '/wiki/Anti-vaccine_activism', '/wiki/Conspiracy_theory']","['https://en.wikipedia.org/wiki/Ivermectin_during_the_COVID-19_pandemic', 'https://en.wikipedia.org/wiki/Ivermectin', 'https://en.wikipedia.org/wiki/Antiparasitic', 'https://en.wikipedia.org/wiki/World_Health_Organization', 'https://en.wikipedia.org/wiki/European_Medicines_Agency', 'https://en.wikipedia.org/wiki/Food_and_Drug_Administration', 'https://en.wikipedia.org/wiki/Infectious_Diseases_Society_of_America', 'https://en.wikipedia.org/wiki/COVID-19', 'https://en.wikipedia.org/wiki/COVID-19_pandemic', 'https://en.wikipedia.org/wiki/Scientific_misconduct', 'https://en.wikipedia.org/wiki/Cause_célèbre', 'https://en.wikipedia.org/wiki/Anti-vaccine_activism', 'https://en.wikipedia.org/wiki/Conspiracy_theory']"
Dangerous treatments,Dangerous treatments,Treatment,"['/wiki/QAnon', '/wiki/Miracle_Mineral_Supplement', '/wiki/Chlorine_dioxide', '/wiki/Datura', '/wiki/TikTok', '/wiki/Anticholinergic']","['https://en.wikipedia.org/wiki/QAnon', 'https://en.wikipedia.org/wiki/Miracle_Mineral_Supplement', 'https://en.wikipedia.org/wiki/Chlorine_dioxide', 'https://en.wikipedia.org/wiki/Datura', 'https://en.wikipedia.org/wiki/TikTok', 'https://en.wikipedia.org/wiki/Anticholinergic']"
Silver,Silver,Treatment,"['/wiki/Televangelist', '/wiki/Jim_Bakker', '/wiki/Colloidal_silver', '/wiki/Naturopath', '/wiki/Alex_Jones']","['https://en.wikipedia.org/wiki/Televangelist', 'https://en.wikipedia.org/wiki/Jim_Bakker', 'https://en.wikipedia.org/wiki/Colloidal_silver', 'https://en.wikipedia.org/wiki/Naturopath', 'https://en.wikipedia.org/wiki/Alex_Jones']"
Mustard oil,Mustard oil,Treatment,"['/wiki/Ramdev', '/wiki/Gastric_acid']","['https://en.wikipedia.org/wiki/Ramdev', 'https://en.wikipedia.org/wiki/Gastric_acid']"
Untested treatments,Untested treatments,Treatment,"['/wiki/Donald_Trump', '/wiki/Disinfectant', '/wiki/Ultraviolet_light', '/wiki/Janata_curfew', '/wiki/WhatsApp', '/wiki/Federal_Bureau_of_Investigation', '/wiki/Wire_fraud']","['https://en.wikipedia.org/wiki/Donald_Trump', 'https://en.wikipedia.org/wiki/Disinfectant', 'https://en.wikipedia.org/wiki/Ultraviolet_light', 'https://en.wikipedia.org/wiki/Janata_curfew', 'https://en.wikipedia.org/wiki/WhatsApp', 'https://en.wikipedia.org/wiki/Federal_Bureau_of_Investigation', 'https://en.wikipedia.org/wiki/Wire_fraud']"
Spiritual healing,Spiritual healing,Treatment,['/wiki/Kenneth_Copeland'],['https://en.wikipedia.org/wiki/Kenneth_Copeland']
Organ trafficking,Organ trafficking,Treatment,[],[]
Name of the disease,Name of the disease,Other,['/wiki/Internet_meme'],['https://en.wikipedia.org/wiki/Internet_meme']
Simpsons prediction,Simpsons prediction,Other,"['/wiki/The_Simpsons', '/wiki/The_Fool_Monty']","['https://en.wikipedia.org/wiki/The_Simpsons', 'https://en.wikipedia.org/wiki/The_Fool_Monty']"
Return of wildlife,Return of wildlife,Other,"['/wiki/Clickbait', '/wiki/Weibo_(company)', '/wiki/Yunnan', '/wiki/Venice', '/wiki/Burano', '/wiki/Sardinia', '/wiki/COVID-19_lockdown_in_India', '/wiki/Malabar_large-spotted_civet', '/wiki/Critically_endangered', '/wiki/Extinction', '/wiki/Meppayur', '/wiki/Small_Indian_civet', '/wiki/Humpback_whale', '/wiki/Arabian_Sea', '/wiki/Mumbai', '/wiki/Java_Sea']","['https://en.wikipedia.org/wiki/Clickbait', 'https://en.wikipedia.org/wiki/Weibo_(company)', 'https://en.wikipedia.org/wiki/Yunnan', 'https://en.wikipedia.org/wiki/Venice', 'https://en.wikipedia.org/wiki/Burano', 'https://en.wikipedia.org/wiki/Sardinia', 'https://en.wikipedia.org/wiki/COVID-19_lockdown_in_India', 'https://en.wikipedia.org/wiki/Malabar_large-spotted_civet', 'https://en.wikipedia.org/wiki/Critically_endangered', 'https://en.wikipedia.org/wiki/Extinction', 'https://en.wikipedia.org/wiki/Meppayur', 'https://en.wikipedia.org/wiki/Small_Indian_civet', 'https://en.wikipedia.org/wiki/Humpback_whale', 'https://en.wikipedia.org/wiki/Arabian_Sea', 'https://en.wikipedia.org/wiki/Mumbai', 'https://en.wikipedia.org/wiki/Java_Sea']"
Virus remains in body permanently,Virus remains in body permanently,Other,['/wiki/Curative_treatment'],['https://en.wikipedia.org/wiki/Curative_treatment']
COVID-19 denialism,COVID-19 denialism,Other,"['/wiki/COVID-19_pandemic', '/wiki/Pontefract', '/wiki/COVID-19_pandemic', '/wiki/World_Health_Organization', '/wiki/Pseudoscience', '/wiki/Elon_Musk', '/wiki/Donald_Trump', '/wiki/Jair_Bolsonaro']","['https://en.wikipedia.org/wiki/COVID-19_pandemic', 'https://en.wikipedia.org/wiki/Pontefract', 'https://en.wikipedia.org/wiki/COVID-19_pandemic', 'https://en.wikipedia.org/wiki/World_Health_Organization', 'https://en.wikipedia.org/wiki/Pseudoscience', 'https://en.wikipedia.org/wiki/Elon_Musk', 'https://en.wikipedia.org/wiki/Donald_Trump', 'https://en.wikipedia.org/wiki/Jair_Bolsonaro']"
Antisemitism,Antisemitism,Other,"['/wiki/Hope_not_Hate', '/wiki/Antisemitism', '/wiki/5G_misinformation', '/wiki/Logically_(company)', '/wiki/Telegram_(software)', '/wiki/Moderna', '/wiki/Pfizer', '/wiki/Joe_Biden', '/wiki/Holocaust', '/wiki/Impact_of_the_COVID-19_pandemic_on_journalism', '/wiki/International_Telecommunication_Union', '/wiki/World_Health_Organization', '/wiki/Infodemic']","['https://en.wikipedia.org/wiki/Hope_not_Hate', 'https://en.wikipedia.org/wiki/Antisemitism', 'https://en.wikipedia.org/wiki/5G_misinformation', 'https://en.wikipedia.org/wiki/Logically_(company)', 'https://en.wikipedia.org/wiki/Telegram_(software)', 'https://en.wikipedia.org/wiki/Moderna', 'https://en.wikipedia.org/wiki/Pfizer', 'https://en.wikipedia.org/wiki/Joe_Biden', 'https://en.wikipedia.org/wiki/Holocaust', 'https://en.wikipedia.org/wiki/Impact_of_the_COVID-19_pandemic_on_journalism', 'https://en.wikipedia.org/wiki/International_Telecommunication_Union', 'https://en.wikipedia.org/wiki/World_Health_Organization', 'https://en.wikipedia.org/wiki/Infodemic']"
Social media,Social media,Efforts to combat misinformation,"['/wiki/Impact_of_the_COVID-19_pandemic_on_social_media', '/wiki/Amazon_(company)', '/wiki/Fake_news', '/wiki/Machine_learning']","['https://en.wikipedia.org/wiki/Impact_of_the_COVID-19_pandemic_on_social_media', 'https://en.wikipedia.org/wiki/Amazon_(company)', 'https://en.wikipedia.org/wiki/Fake_news', 'https://en.wikipedia.org/wiki/Machine_learning']"
Wikipedia,Wikipedia,Efforts to combat misinformation,"['/wiki/Wikipedia_coverage_of_the_COVID-19_pandemic', '/wiki/Misinformation', '/wiki/COVID-19_pandemic', '/wiki/Wikipedia_community']","['https://en.wikipedia.org/wiki/Wikipedia_coverage_of_the_COVID-19_pandemic', 'https://en.wikipedia.org/wiki/Misinformation', 'https://en.wikipedia.org/wiki/COVID-19_pandemic', 'https://en.wikipedia.org/wiki/Wikipedia_community']"
Newspapers and scholarly journals,Newspapers and scholarly journals,Efforts to combat misinformation,"['/wiki/Paywall', '/wiki/Open_access', '/wiki/Retraction_Watch']","['https://en.wikipedia.org/wiki/Paywall', 'https://en.wikipedia.org/wiki/Open_access', 'https://en.wikipedia.org/wiki/Retraction_Watch']"
