Sub-subheading,Subheading,Main Heading,Links,Full Links,Main Heading_translated,Subheading_translated,Sub-subheading_translated,English Full Links,English Relative Links
“斯洛伐克总理感染2019冠狀病毒病”,“斯洛伐克总理感染2019冠狀病毒病”,疫情其他谣言,"['/wiki/斯洛伐克總理', '/wiki/彼得·佩莱格里尼']","['https://zh.wikipedia.org/wiki/斯洛伐克總理', 'https://zh.wikipedia.org/wiki/彼得·佩莱格里尼']",Other rumors of the epidemic,"""Prime Minister Slovakia is infected with 2019 coronary virus disease""","""Prime Minister Slovakia is infected with 2019 coronary virus disease""","['https://en.wikipedia.org/wiki/Prime_Minister_of_Slovakia', 'https://en.wikipedia.org/wiki/Peter_Pellegrini']","['/wiki/Prime_Minister_of_Slovakia', '/wiki/Peter_Pellegrini']"
“成龙患2019冠狀病毒病遭隔离”,“成龙患2019冠狀病毒病遭隔离”,疫情其他谣言,['/wiki/成龙'],['https://zh.wikipedia.org/wiki/成龙'],Other rumors of the epidemic,"""Jackie Chan suffers from the 2019 coronary virus is isolated""","""Jackie Chan suffers from the 2019 coronary virus is isolated""",['https://zh.wikipedia.org/wiki/成龙'],['https://zh.wikipedia.org/wiki/成龙']
“疫情暴发后美国老百姓急着囤枪”,“疫情暴发后美国老百姓急着囤枪”,疫情其他谣言,['/wiki/特立尼达和多巴哥'],['https://zh.wikipedia.org/wiki/特立尼达和多巴哥'],Other rumors of the epidemic,"""After the outbreak, the American people are anxious to hoard their guns""","""After the outbreak, the American people are anxious to hoard their guns""",['https://zh.wikipedia.org/wiki/特立尼达和多巴哥'],['https://zh.wikipedia.org/wiki/特立尼达和多巴哥']
「台灣病毒學家指冠狀病毒源自美國」,「台灣病毒學家指冠狀病毒源自美國」,疫情其他谣言,"['/wiki/2019冠状病毒病阴谋论', '/wiki/潘懷宗']","['https://zh.wikipedia.org/wiki/2019冠状病毒病阴谋论', 'https://zh.wikipedia.org/wiki/潘懷宗']",Other rumors of the epidemic,"""Taiwanese virusologist refers to the coronary virus derived from the United States""","""Taiwanese virusologist refers to the coronary virus derived from the United States""","['https://en.wikipedia.org/wiki/Conspiracy_theories_about_COVID-19', 'https://zh.wikipedia.org/wiki/潘懷宗']","['/wiki/Conspiracy_theories_about_COVID-19', 'https://zh.wikipedia.org/wiki/潘懷宗']"
“3月13日江苏确诊病例清零”,“3月13日江苏确诊病例清零”,疫情其他谣言,[],[],Other rumors of the epidemic,"""On March 13, Jiangsu's confirmed cases are cleared""","""On March 13, Jiangsu's confirmed cases are cleared""",[],[]
“中国留学生在英国感染2019冠狀病毒病死亡”,“中国留学生在英国感染2019冠狀病毒病死亡”,疫情其他谣言,['/wiki/中国驻英国大使馆'],['https://zh.wikipedia.org/wiki/中国驻英国大使馆'],Other rumors of the epidemic,"""Chinese students in the UK infected with the death of coronary virus in 2019""","""Chinese students in the UK infected with the death of coronary virus in 2019""",['https://en.wikipedia.org/wiki/Embassy_of_China%2C_London'],['/wiki/Embassy_of_China%2C_London']
“意大利社区播放中国国歌”,“意大利社区播放中国国歌”,疫情其他谣言,"['/wiki/互联网档案馆', '/wiki/罗马', '/wiki/義勇軍進行曲', '/wiki/互联网档案馆', '/wiki/人民日報', '/wiki/意大利', '/wiki/羅馬', '/wiki/互联网档案馆', '/wiki/法国国际广播电台', '/wiki/台灣事實查核中心']","['https://zh.wikipedia.org/wiki/互联网档案馆', 'https://zh.wikipedia.org/wiki/罗马', 'https://zh.wikipedia.org/wiki/義勇軍進行曲', 'https://zh.wikipedia.org/wiki/互联网档案馆', 'https://zh.wikipedia.org/wiki/人民日報', 'https://zh.wikipedia.org/wiki/意大利', 'https://zh.wikipedia.org/wiki/羅馬', 'https://zh.wikipedia.org/wiki/互联网档案馆', 'https://zh.wikipedia.org/wiki/法国国际广播电台', 'https://zh.wikipedia.org/wiki/台灣事實查核中心']",Other rumors of the epidemic,"""Italian community play the Chinese national anthem""","""Italian community play the Chinese national anthem""","['https://en.wikipedia.org/wiki/Internet_Archive', 'https://en.wikipedia.org/wiki/Rome', 'https://zh.wikipedia.org/wiki/義勇軍進行曲', 'https://en.wikipedia.org/wiki/Internet_Archive', 'https://zh.wikipedia.org/wiki/人民日報', 'https://en.wikipedia.org/wiki/Italy', 'https://zh.wikipedia.org/wiki/羅馬', 'https://en.wikipedia.org/wiki/Internet_Archive', 'https://en.wikipedia.org/wiki/Radio_France_Internationale', 'https://zh.wikipedia.org/wiki/台灣事實查核中心']","['/wiki/Internet_Archive', '/wiki/Rome', 'https://zh.wikipedia.org/wiki/義勇軍進行曲', '/wiki/Internet_Archive', 'https://zh.wikipedia.org/wiki/人民日報', '/wiki/Italy', 'https://zh.wikipedia.org/wiki/羅馬', '/wiki/Internet_Archive', '/wiki/Radio_France_Internationale', 'https://zh.wikipedia.org/wiki/台灣事實查核中心']"
「美国海军调来10艘巨型医院船用作方舱医院」,「美国海军调来10艘巨型医院船用作方舱医院」,疫情其他谣言,"['/wiki/自媒体', '/wiki/仁慈號醫療艦', '/wiki/安慰号医疗船']","['https://zh.wikipedia.org/wiki/自媒体', 'https://zh.wikipedia.org/wiki/仁慈號醫療艦', 'https://zh.wikipedia.org/wiki/安慰号医疗船']",Other rumors of the epidemic,"""The U.S. Navy is transferred to 10 giant hospitals for ships as square -cabin hospitals""","""The U.S. Navy is transferred to 10 giant hospitals for ships as square -cabin hospitals""","['https://en.wikipedia.org/wiki/Personal_media', 'https://en.wikipedia.org/wiki/USNS_Mercy', 'https://en.wikipedia.org/wiki/USNS_Comfort']","['/wiki/Personal_media', '/wiki/USNS_Mercy', '/wiki/USNS_Comfort']"
「瑞士生物学家称美国施压世卫组织溯源工作」,「瑞士生物学家称美国施压世卫组织溯源工作」,疫情其他谣言,"['/wiki/威爾遜·愛德華茲事件', '/wiki/观察者网', '/wiki/中国新闻网', '/wiki/新华网', '/wiki/人民网', '/wiki/瑞士驻华大使列表', '/wiki/新浪微博', '/wiki/脸书', '/wiki/太平洋', '/wiki/島國', '/wiki/斐濟']","['https://zh.wikipedia.org/wiki/威爾遜·愛德華茲事件', 'https://zh.wikipedia.org/wiki/观察者网', 'https://zh.wikipedia.org/wiki/中国新闻网', 'https://zh.wikipedia.org/wiki/新华网', 'https://zh.wikipedia.org/wiki/人民网', 'https://zh.wikipedia.org/wiki/瑞士驻华大使列表', 'https://zh.wikipedia.org/wiki/新浪微博', 'https://zh.wikipedia.org/wiki/脸书', 'https://zh.wikipedia.org/wiki/太平洋', 'https://zh.wikipedia.org/wiki/島國', 'https://zh.wikipedia.org/wiki/斐濟']",Other rumors of the epidemic,"""Swiss biologists call the US pressure WHO's traceability work""","""Swiss biologists call the US pressure WHO's traceability work""","['https://zh.wikipedia.org/wiki/威爾遜·愛德華茲事件', 'https://en.wikipedia.org/wiki/Guancha', 'https://zh.wikipedia.org/wiki/中国新闻网', 'https://zh.wikipedia.org/wiki/新华网', 'https://zh.wikipedia.org/wiki/人民网', 'https://en.wikipedia.org/wiki/List_of_ambassadors_of_Switzerland_to_China', 'https://en.wikipedia.org/wiki/Weibo', 'https://zh.wikipedia.org/wiki/脸书', 'https://en.wikipedia.org/wiki/Pacific_Ocean', 'https://zh.wikipedia.org/wiki/島國', 'https://en.wikipedia.org/wiki/Fiji']","['https://zh.wikipedia.org/wiki/威爾遜·愛德華茲事件', '/wiki/Guancha', 'https://zh.wikipedia.org/wiki/中国新闻网', 'https://zh.wikipedia.org/wiki/新华网', 'https://zh.wikipedia.org/wiki/人民网', '/wiki/List_of_ambassadors_of_Switzerland_to_China', '/wiki/Weibo', 'https://zh.wikipedia.org/wiki/脸书', '/wiki/Pacific_Ocean', 'https://zh.wikipedia.org/wiki/島國', '/wiki/Fiji']"
「劍橋大學研究證明嚴重急性呼吸綜合症冠狀病毒2型源自美國」,「劍橋大學研究證明嚴重急性呼吸綜合症冠狀病毒2型源自美國」,疫情其他谣言,"['/wiki/英國', '/wiki/德國', '/wiki/美國國家科學院院刊', '/wiki/微博', '/wiki/知乎', '/wiki/人民網', '/wiki/香港建制派', '/wiki/議員', '/wiki/陳穎欣_(區議員)', '/wiki/YouTube', '/wiki/视频', '/wiki/美國', '/wiki/澳洲', '/wiki/劍橋大學', '/wiki/彼得·福斯特_(遗传学家)', '/wiki/奠基者效应', '/wiki/廣東', '/wiki/傳真社', '/wiki/中國人']","['https://zh.wikipedia.org/wiki/英國', 'https://zh.wikipedia.org/wiki/德國', 'https://zh.wikipedia.org/wiki/美國國家科學院院刊', 'https://zh.wikipedia.org/wiki/微博', 'https://zh.wikipedia.org/wiki/知乎', 'https://zh.wikipedia.org/wiki/人民網', 'https://zh.wikipedia.org/wiki/香港建制派', 'https://zh.wikipedia.org/wiki/議員', 'https://zh.wikipedia.org/wiki/陳穎欣_(區議員)', 'https://zh.wikipedia.org/wiki/YouTube', 'https://zh.wikipedia.org/wiki/视频', 'https://zh.wikipedia.org/wiki/美國', 'https://zh.wikipedia.org/wiki/澳洲', 'https://zh.wikipedia.org/wiki/劍橋大學', 'https://zh.wikipedia.org/wiki/彼得·福斯特_(遗传学家)', 'https://zh.wikipedia.org/wiki/奠基者效应', 'https://zh.wikipedia.org/wiki/廣東', 'https://zh.wikipedia.org/wiki/傳真社', 'https://zh.wikipedia.org/wiki/中國人']",Other rumors of the epidemic,"""Cambridge University Research proves that severe acute respiratory syndrome Coronary virus 2 originated from the United States""","""Cambridge University Research proves that severe acute respiratory syndrome Coronary virus 2 originated from the United States""","['https://zh.wikipedia.org/wiki/英國', 'https://zh.wikipedia.org/wiki/德國', 'https://zh.wikipedia.org/wiki/美國國家科學院院刊', 'https://en.wikipedia.org/wiki/Microblogging', 'https://en.wikipedia.org/wiki/Zhihu', 'https://zh.wikipedia.org/wiki/人民網', 'https://zh.wikipedia.org/wiki/香港建制派', 'https://zh.wikipedia.org/wiki/議員', 'https://zh.wikipedia.org/wiki/陳穎欣_(區議員)', 'https://en.wikipedia.org/wiki/YouTube', 'https://en.wikipedia.org/wiki/Video', 'https://zh.wikipedia.org/wiki/美國', 'https://zh.wikipedia.org/wiki/澳洲', 'https://zh.wikipedia.org/wiki/劍橋大學', 'https://en.wikipedia.org/wiki/Peter_Forster_%28geneticist%29', 'https://en.wikipedia.org/wiki/Founder_effect', 'https://zh.wikipedia.org/wiki/廣東', 'https://en.wikipedia.org/wiki/FactWire', 'https://en.wikipedia.org/wiki/Chinese_people']","['https://zh.wikipedia.org/wiki/英國', 'https://zh.wikipedia.org/wiki/德國', 'https://zh.wikipedia.org/wiki/美國國家科學院院刊', '/wiki/Microblogging', '/wiki/Zhihu', 'https://zh.wikipedia.org/wiki/人民網', 'https://zh.wikipedia.org/wiki/香港建制派', 'https://zh.wikipedia.org/wiki/議員', 'https://zh.wikipedia.org/wiki/陳穎欣_(區議員)', '/wiki/YouTube', '/wiki/Video', 'https://zh.wikipedia.org/wiki/美國', 'https://zh.wikipedia.org/wiki/澳洲', 'https://zh.wikipedia.org/wiki/劍橋大學', '/wiki/Peter_Forster_%28geneticist%29', '/wiki/Founder_effect', 'https://zh.wikipedia.org/wiki/廣東', '/wiki/FactWire', '/wiki/Chinese_people']"
哈萨克病毒,哈萨克病毒,疫情其他谣言,[],[],Other rumors of the epidemic,Kazakh virus,Kazakh virus,[],[]
