Sub-subheading,Subheading,Main Heading,Links,Full Links,Main Heading_translated,Subheading_translated,Sub-subheading_translated,English Full Links,English Relative Links
Masken,Masken,Falschinformationen über Corona-Gegenmaßnahmen,"['/wiki/Mund-Nasen-Schutz', '/wiki/Alltagsmaske#Maskenpflicht', '/wiki/Kohlenstoffdioxid', '/wiki/Sauerstoff', '/wiki/Atemlähmung', '/wiki/Postulat', '/wiki/Atemschutzmaske#Halbmaske', '/wiki/Alltagsmaske', '/wiki/Aerosol', '/wiki/Europäische_Norm', '/wiki/Infektion', '/wiki/Viruslast', '/wiki/Nährboden', '/wiki/Bundesinstitut_für_Arzneimittel_und_Medizinprodukte', '/wiki/Kleinheppach', '/wiki/Schweinfurt', '/wiki/CO2-Vergiftung', '/wiki/Impetigo_contagiosa', '/wiki/Aspergillose', '/wiki/Wiener_Gesundheitsverbund', '/wiki/Pneumologie', '/wiki/Pädiatrie', '/wiki/Peer-Review', '/wiki/Harald_Walach', '/wiki/Tagesschau.de', '/wiki/Inkubator_(Medizin)']","['https://de.wikipedia.org/wiki/Mund-Nasen-Schutz', 'https://de.wikipedia.org/wiki/Alltagsmaske#Maskenpflicht', 'https://de.wikipedia.org/wiki/Kohlenstoffdioxid', 'https://de.wikipedia.org/wiki/Sauerstoff', 'https://de.wikipedia.org/wiki/Atemlähmung', 'https://de.wikipedia.org/wiki/Postulat', 'https://de.wikipedia.org/wiki/Atemschutzmaske#Halbmaske', 'https://de.wikipedia.org/wiki/Alltagsmaske', 'https://de.wikipedia.org/wiki/Aerosol', 'https://de.wikipedia.org/wiki/Europäische_Norm', 'https://de.wikipedia.org/wiki/Infektion', 'https://de.wikipedia.org/wiki/Viruslast', 'https://de.wikipedia.org/wiki/Nährboden', 'https://de.wikipedia.org/wiki/Bundesinstitut_für_Arzneimittel_und_Medizinprodukte', 'https://de.wikipedia.org/wiki/Kleinheppach', 'https://de.wikipedia.org/wiki/Schweinfurt', 'https://de.wikipedia.org/wiki/CO2-Vergiftung', 'https://de.wikipedia.org/wiki/Impetigo_contagiosa', 'https://de.wikipedia.org/wiki/Aspergillose', 'https://de.wikipedia.org/wiki/Wiener_Gesundheitsverbund', 'https://de.wikipedia.org/wiki/Pneumologie', 'https://de.wikipedia.org/wiki/Pädiatrie', 'https://de.wikipedia.org/wiki/Peer-Review', 'https://de.wikipedia.org/wiki/Harald_Walach', 'https://de.wikipedia.org/wiki/Tagesschau.de', 'https://de.wikipedia.org/wiki/Inkubator_(Medizin)']",False information about Corona countermeasures,Masks,Masks,"['https://en.wikipedia.org/wiki/Surgical_mask', 'https://en.wikipedia.org/wiki/Cloth_face_mask', 'https://en.wikipedia.org/wiki/Carbon_dioxide', 'https://en.wikipedia.org/wiki/Oxygen', 'https://de.wikipedia.org/wiki/Atemlähmung', 'https://de.wikipedia.org/wiki/Postulat', 'https://en.wikipedia.org/wiki/Respirator', 'https://en.wikipedia.org/wiki/Cloth_face_mask', 'https://en.wikipedia.org/wiki/Aerosol', 'https://en.wikipedia.org/wiki/European_Standard', 'https://en.wikipedia.org/wiki/Infection', 'https://en.wikipedia.org/wiki/Viral_load', 'https://de.wikipedia.org/wiki/Nährboden', 'https://en.wikipedia.org/wiki/Federal_Institute_for_Drugs_and_Medical_Devices', 'https://de.wikipedia.org/wiki/Kleinheppach', 'https://en.wikipedia.org/wiki/Schweinfurt', 'https://de.wikipedia.org/wiki/CO2-Vergiftung', 'https://en.wikipedia.org/wiki/Impetigo', 'https://en.wikipedia.org/wiki/Aspergillosis', 'https://de.wikipedia.org/wiki/Wiener_Gesundheitsverbund', 'https://en.wikipedia.org/wiki/Pulmonology', 'https://en.wikipedia.org/wiki/Pediatrics', 'https://de.wikipedia.org/wiki/Peer-Review', 'https://en.wikipedia.org/wiki/Harald_Walach', 'https://de.wikipedia.org/wiki/Tagesschau.de', 'https://en.wikipedia.org/wiki/Incubator_%28neonatal%29']","['/wiki/Surgical_mask', '/wiki/Cloth_face_mask', '/wiki/Carbon_dioxide', '/wiki/Oxygen', 'https://de.wikipedia.org/wiki/Atemlähmung', 'https://de.wikipedia.org/wiki/Postulat', '/wiki/Respirator', '/wiki/Cloth_face_mask', '/wiki/Aerosol', '/wiki/European_Standard', '/wiki/Infection', '/wiki/Viral_load', 'https://de.wikipedia.org/wiki/Nährboden', '/wiki/Federal_Institute_for_Drugs_and_Medical_Devices', 'https://de.wikipedia.org/wiki/Kleinheppach', '/wiki/Schweinfurt', 'https://de.wikipedia.org/wiki/CO2-Vergiftung', '/wiki/Impetigo', '/wiki/Aspergillosis', 'https://de.wikipedia.org/wiki/Wiener_Gesundheitsverbund', '/wiki/Pulmonology', '/wiki/Pediatrics', 'https://de.wikipedia.org/wiki/Peer-Review', '/wiki/Harald_Walach', 'https://de.wikipedia.org/wiki/Tagesschau.de', '/wiki/Incubator_%28neonatal%29']"
Schnelltest,Schnelltest,Falschinformationen über Corona-Gegenmaßnahmen,"['/wiki/Abstrich_(Medizin)', '/wiki/Corona-Test#Antigen-Schnelltests', '/wiki/Atemschutzmaske#Partikelfiltrierende_Halbmaske_(FFP-Maske)', '/wiki/Morgellons', '/wiki/Parasitismus', '/wiki/Psychische_Störung', '/wiki/Dermatozoenwahn', '/wiki/Elektrostatik']","['https://de.wikipedia.org/wiki/Abstrich_(Medizin)', 'https://de.wikipedia.org/wiki/Corona-Test#Antigen-Schnelltests', 'https://de.wikipedia.org/wiki/Atemschutzmaske#Partikelfiltrierende_Halbmaske_(FFP-Maske)', 'https://de.wikipedia.org/wiki/Morgellons', 'https://de.wikipedia.org/wiki/Parasitismus', 'https://de.wikipedia.org/wiki/Psychische_Störung', 'https://de.wikipedia.org/wiki/Dermatozoenwahn', 'https://de.wikipedia.org/wiki/Elektrostatik']",False information about Corona countermeasures,Rapid test,Rapid test,"['https://de.wikipedia.org/wiki/Abstrich_(Medizin)', 'https://en.wikipedia.org/wiki/COVID-19_testing', 'https://en.wikipedia.org/wiki/Respirator', 'https://en.wikipedia.org/wiki/Morgellons', 'https://en.wikipedia.org/wiki/Parasitism', 'https://en.wikipedia.org/wiki/Mental_disorder', 'https://en.wikipedia.org/wiki/Delusional_parasitosis', 'https://en.wikipedia.org/wiki/Electrostatics']","['https://de.wikipedia.org/wiki/Abstrich_(Medizin)', '/wiki/COVID-19_testing', '/wiki/Respirator', '/wiki/Morgellons', '/wiki/Parasitism', '/wiki/Mental_disorder', '/wiki/Delusional_parasitosis', '/wiki/Electrostatics']"
Genetische Impfstoffe,Genetische Impfstoffe,Falschinformationen über Corona-Gegenmaßnahmen,[],[],False information about Corona countermeasures,Genetic vaccines,Genetic vaccines,[],[]
Falschbehauptung der Integration in das menschliche Erbgut,Genetische Impfstoffe,Falschinformationen über Corona-Gegenmaßnahmen,"['/wiki/SARS-CoV-2-Impfstoff', '/wiki/Genetischer_Impfstoff', '/wiki/RNA-Impfstoff', '/wiki/Viraler_Vektor#Impfstoffe', '/wiki/Gentechnik', '/wiki/DNA', '/wiki/MRNA', '/wiki/AZD1222', '/wiki/Spike-Protein', '/wiki/Adenoviren', '/wiki/Universitätsklinikum_Ulm']","['https://de.wikipedia.org/wiki/SARS-CoV-2-Impfstoff', 'https://de.wikipedia.org/wiki/Genetischer_Impfstoff', 'https://de.wikipedia.org/wiki/RNA-Impfstoff', 'https://de.wikipedia.org/wiki/Viraler_Vektor#Impfstoffe', 'https://de.wikipedia.org/wiki/Gentechnik', 'https://de.wikipedia.org/wiki/DNA', 'https://de.wikipedia.org/wiki/MRNA', 'https://de.wikipedia.org/wiki/AZD1222', 'https://de.wikipedia.org/wiki/Spike-Protein', 'https://de.wikipedia.org/wiki/Adenoviren', 'https://de.wikipedia.org/wiki/Universitätsklinikum_Ulm']",False information about Corona countermeasures,Genetic vaccines,False assertion of integration into human genetic material,"['https://de.wikipedia.org/wiki/SARS-CoV-2-Impfstoff', 'https://en.wikipedia.org/wiki/Genetic_vaccine', 'https://en.wikipedia.org/wiki/MRNA_vaccine', 'https://en.wikipedia.org/wiki/Viral_vector', 'https://en.wikipedia.org/wiki/Genetic_engineering', 'https://de.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/Messenger_RNA', 'https://en.wikipedia.org/wiki/Oxford%E2%80%93AstraZeneca_COVID-19_vaccine', 'https://de.wikipedia.org/wiki/Spike-Protein', 'https://de.wikipedia.org/wiki/Adenoviren', 'https://de.wikipedia.org/wiki/Universitätsklinikum_Ulm']","['https://de.wikipedia.org/wiki/SARS-CoV-2-Impfstoff', '/wiki/Genetic_vaccine', '/wiki/MRNA_vaccine', '/wiki/Viral_vector', '/wiki/Genetic_engineering', 'https://de.wikipedia.org/wiki/DNA', '/wiki/Messenger_RNA', '/wiki/Oxford%E2%80%93AstraZeneca_COVID-19_vaccine', 'https://de.wikipedia.org/wiki/Spike-Protein', 'https://de.wikipedia.org/wiki/Adenoviren', 'https://de.wikipedia.org/wiki/Universitätsklinikum_Ulm']"
Nebenwirkungen,Genetische Impfstoffe,Falschinformationen über Corona-Gegenmaßnahmen,"['/wiki/Stefan_Hockertz', '/wiki/Paul-Ehrlich-Institut', '/wiki/Deutsches_Ärzteblatt', '/wiki/Pharmaforschung#Präklinische_Prüfung_neuer_Wirkstoffe', '/wiki/Toxizität', '/wiki/Wolfgang_Wodarg', '/wiki/Sucharit_Bhakdi', '/wiki/Unfruchtbarkeit', '/wiki/Syncytin', '/wiki/Kreuzreaktivität', '/wiki/Plazenta', '/wiki/Deutsche_Gesellschaft_für_Gynäkologie_und_Geburtshilfe', '/wiki/Anton_Scharl', '/wiki/RT_(Fernsehsender)', '/wiki/Rainer_Rupp', '/wiki/Folkehelseinstituttet', '/wiki/AZD1222', '/wiki/Hirnvenenthrombose', '/wiki/Antibabypille', '/wiki/Tiefe_Venenthrombose', '/wiki/Osteopathie_(Alternativmedizin)', '/wiki/Tozinameran', '/wiki/MMR-Impfstoff#Der_Fall_Wakefield', '/wiki/Peplomer', '/wiki/Replikation', '/wiki/Deutsche_Gesellschaft_für_Infektiologie', '/wiki/Eiter', '/wiki/Makrophage', '/wiki/Immunologie', '/wiki/Autoimmunerkrankung', '/wiki/Harald_Walach', '/wiki/Adam-Mickiewicz-Universität_Posen', '/wiki/Luc_Montagnier', '/wiki/Infektionsverstärkende_Antikörper', '/wiki/Zytokinsturm', '/wiki/Wilfried_Posch', '/wiki/Impfdurchbruch', '/wiki/Tagesschau.de', '/wiki/Sucharit_Bhakdi', '/wiki/Deutsche_Gesellschaft_für_Pathologie', '/wiki/Carsten_Watzl', '/wiki/Basisdemokratische_Partei_Deutschland', '/wiki/Klaus_Reinhardt_(Mediziner)', '/wiki/Alternative_für_Deutschland', '/wiki/Björn_Höcke', '/wiki/Menschenversuche_in_nationalsozialistischen_Konzentrationslagern', '/wiki/Benjamin_Hoff', '/wiki/Harald_Matthes', '/wiki/Anthroposophie', '/wiki/Leif_Erik_Sander', '/wiki/Placebo', '/wiki/Thomas_K._Bauer', '/wiki/RWI_–_Leibniz-Institut_für_Wirtschaftsforschung', '/wiki/Validität', '/wiki/Herpes_simplex', '/wiki/Gürtelrose']","['https://de.wikipedia.org/wiki/Stefan_Hockertz', 'https://de.wikipedia.org/wiki/Paul-Ehrlich-Institut', 'https://de.wikipedia.org/wiki/Deutsches_Ärzteblatt', 'https://de.wikipedia.org/wiki/Pharmaforschung#Präklinische_Prüfung_neuer_Wirkstoffe', 'https://de.wikipedia.org/wiki/Toxizität', 'https://de.wikipedia.org/wiki/Wolfgang_Wodarg', 'https://de.wikipedia.org/wiki/Sucharit_Bhakdi', 'https://de.wikipedia.org/wiki/Unfruchtbarkeit', 'https://de.wikipedia.org/wiki/Syncytin', 'https://de.wikipedia.org/wiki/Kreuzreaktivität', 'https://de.wikipedia.org/wiki/Plazenta', 'https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Gynäkologie_und_Geburtshilfe', 'https://de.wikipedia.org/wiki/Anton_Scharl', 'https://de.wikipedia.org/wiki/RT_(Fernsehsender)', 'https://de.wikipedia.org/wiki/Rainer_Rupp', 'https://de.wikipedia.org/wiki/Folkehelseinstituttet', 'https://de.wikipedia.org/wiki/AZD1222', 'https://de.wikipedia.org/wiki/Hirnvenenthrombose', 'https://de.wikipedia.org/wiki/Antibabypille', 'https://de.wikipedia.org/wiki/Tiefe_Venenthrombose', 'https://de.wikipedia.org/wiki/Osteopathie_(Alternativmedizin)', 'https://de.wikipedia.org/wiki/Tozinameran', 'https://de.wikipedia.org/wiki/MMR-Impfstoff#Der_Fall_Wakefield', 'https://de.wikipedia.org/wiki/Peplomer', 'https://de.wikipedia.org/wiki/Replikation', 'https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Infektiologie', 'https://de.wikipedia.org/wiki/Eiter', 'https://de.wikipedia.org/wiki/Makrophage', 'https://de.wikipedia.org/wiki/Immunologie', 'https://de.wikipedia.org/wiki/Autoimmunerkrankung', 'https://de.wikipedia.org/wiki/Harald_Walach', 'https://de.wikipedia.org/wiki/Adam-Mickiewicz-Universität_Posen', 'https://de.wikipedia.org/wiki/Luc_Montagnier', 'https://de.wikipedia.org/wiki/Infektionsverstärkende_Antikörper', 'https://de.wikipedia.org/wiki/Zytokinsturm', 'https://de.wikipedia.org/wiki/Wilfried_Posch', 'https://de.wikipedia.org/wiki/Impfdurchbruch', 'https://de.wikipedia.org/wiki/Tagesschau.de', 'https://de.wikipedia.org/wiki/Sucharit_Bhakdi', 'https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Pathologie', 'https://de.wikipedia.org/wiki/Carsten_Watzl', 'https://de.wikipedia.org/wiki/Basisdemokratische_Partei_Deutschland', 'https://de.wikipedia.org/wiki/Klaus_Reinhardt_(Mediziner)', 'https://de.wikipedia.org/wiki/Alternative_für_Deutschland', 'https://de.wikipedia.org/wiki/Björn_Höcke', 'https://de.wikipedia.org/wiki/Menschenversuche_in_nationalsozialistischen_Konzentrationslagern', 'https://de.wikipedia.org/wiki/Benjamin_Hoff', 'https://de.wikipedia.org/wiki/Harald_Matthes', 'https://de.wikipedia.org/wiki/Anthroposophie', 'https://de.wikipedia.org/wiki/Leif_Erik_Sander', 'https://de.wikipedia.org/wiki/Placebo', 'https://de.wikipedia.org/wiki/Thomas_K._Bauer', 'https://de.wikipedia.org/wiki/RWI_–_Leibniz-Institut_für_Wirtschaftsforschung', 'https://de.wikipedia.org/wiki/Validität', 'https://de.wikipedia.org/wiki/Herpes_simplex', 'https://de.wikipedia.org/wiki/Gürtelrose']",False information about Corona countermeasures,Genetic vaccines,Side effects,"['https://de.wikipedia.org/wiki/Stefan_Hockertz', 'https://en.wikipedia.org/wiki/Paul_Ehrlich_Institute', 'https://en.wikipedia.org/wiki/Deutsches_%C3%84rzteblatt', 'https://en.wikipedia.org/wiki/Drug_discovery', 'https://en.wikipedia.org/wiki/Toxicity', 'https://en.wikipedia.org/wiki/Wolfgang_Wodarg', 'https://en.wikipedia.org/wiki/Sucharit_Bhakdi', 'https://en.wikipedia.org/wiki/Infertility', 'https://de.wikipedia.org/wiki/Syncytin', 'https://en.wikipedia.org/wiki/Cross-reactivity', 'https://en.wikipedia.org/wiki/Placenta', 'https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Gynäkologie_und_Geburtshilfe', 'https://de.wikipedia.org/wiki/Anton_Scharl', 'https://en.wikipedia.org/wiki/RT_%28TV_network%29', 'https://en.wikipedia.org/wiki/Rainer_Rupp', 'https://en.wikipedia.org/wiki/Norwegian_Institute_of_Public_Health', 'https://en.wikipedia.org/wiki/Oxford%E2%80%93AstraZeneca_COVID-19_vaccine', 'https://de.wikipedia.org/wiki/Hirnvenenthrombose', 'https://en.wikipedia.org/wiki/Combined_oral_contraceptive_pill', 'https://de.wikipedia.org/wiki/Tiefe_Venenthrombose', 'https://en.wikipedia.org/wiki/Osteopathy', 'https://en.wikipedia.org/wiki/Pfizer%E2%80%93BioNTech_COVID-19_vaccine', 'https://en.wikipedia.org/wiki/MMR_vaccine', 'https://en.wikipedia.org/wiki/Spike_protein', 'https://en.wikipedia.org/wiki/DNA_replication', 'https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Infektiologie', 'https://en.wikipedia.org/wiki/Pus', 'https://en.wikipedia.org/wiki/Macrophage', 'https://en.wikipedia.org/wiki/Immunology', 'https://en.wikipedia.org/wiki/Autoimmune_disease', 'https://en.wikipedia.org/wiki/Harald_Walach', 'https://en.wikipedia.org/wiki/Adam_Mickiewicz_University_in_Pozna%C5%84', 'https://en.wikipedia.org/wiki/Luc_Montagnier', 'https://en.wikipedia.org/wiki/Antibody-dependent_enhancement', 'https://en.wikipedia.org/wiki/Cytokine_storm', 'https://de.wikipedia.org/wiki/Wilfried_Posch', 'https://en.wikipedia.org/wiki/Breakthrough_infection', 'https://de.wikipedia.org/wiki/Tagesschau.de', 'https://en.wikipedia.org/wiki/Sucharit_Bhakdi', 'https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Pathologie', 'https://de.wikipedia.org/wiki/Carsten_Watzl', 'https://en.wikipedia.org/wiki/Grassroots_Democratic_Party_of_Germany', 'https://de.wikipedia.org/wiki/Klaus_Reinhardt_(Mediziner)', 'https://en.wikipedia.org/wiki/Alternative_for_Germany', 'https://en.wikipedia.org/wiki/Bj%C3%B6rn_H%C3%B6cke', 'https://en.wikipedia.org/wiki/Nazi_human_experimentation', 'https://de.wikipedia.org/wiki/Benjamin_Hoff', 'https://de.wikipedia.org/wiki/Harald_Matthes', 'https://en.wikipedia.org/wiki/Anthroposophy', 'https://de.wikipedia.org/wiki/Leif_Erik_Sander', 'https://en.wikipedia.org/wiki/Placebo', 'https://de.wikipedia.org/wiki/Thomas_K._Bauer', 'https://en.wikipedia.org/wiki/RWI_Essen', 'https://en.wikipedia.org/wiki/Validity_%28statistics%29', 'https://en.wikipedia.org/wiki/Herpes', 'https://de.wikipedia.org/wiki/Gürtelrose']","['https://de.wikipedia.org/wiki/Stefan_Hockertz', '/wiki/Paul_Ehrlich_Institute', '/wiki/Deutsches_%C3%84rzteblatt', '/wiki/Drug_discovery', '/wiki/Toxicity', '/wiki/Wolfgang_Wodarg', '/wiki/Sucharit_Bhakdi', '/wiki/Infertility', 'https://de.wikipedia.org/wiki/Syncytin', '/wiki/Cross-reactivity', '/wiki/Placenta', 'https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Gynäkologie_und_Geburtshilfe', 'https://de.wikipedia.org/wiki/Anton_Scharl', '/wiki/RT_%28TV_network%29', '/wiki/Rainer_Rupp', '/wiki/Norwegian_Institute_of_Public_Health', '/wiki/Oxford%E2%80%93AstraZeneca_COVID-19_vaccine', 'https://de.wikipedia.org/wiki/Hirnvenenthrombose', '/wiki/Combined_oral_contraceptive_pill', 'https://de.wikipedia.org/wiki/Tiefe_Venenthrombose', '/wiki/Osteopathy', '/wiki/Pfizer%E2%80%93BioNTech_COVID-19_vaccine', '/wiki/MMR_vaccine', '/wiki/Spike_protein', '/wiki/DNA_replication', 'https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Infektiologie', '/wiki/Pus', '/wiki/Macrophage', '/wiki/Immunology', '/wiki/Autoimmune_disease', '/wiki/Harald_Walach', '/wiki/Adam_Mickiewicz_University_in_Pozna%C5%84', '/wiki/Luc_Montagnier', '/wiki/Antibody-dependent_enhancement', '/wiki/Cytokine_storm', 'https://de.wikipedia.org/wiki/Wilfried_Posch', '/wiki/Breakthrough_infection', 'https://de.wikipedia.org/wiki/Tagesschau.de', '/wiki/Sucharit_Bhakdi', 'https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Pathologie', 'https://de.wikipedia.org/wiki/Carsten_Watzl', '/wiki/Grassroots_Democratic_Party_of_Germany', 'https://de.wikipedia.org/wiki/Klaus_Reinhardt_(Mediziner)', '/wiki/Alternative_for_Germany', '/wiki/Bj%C3%B6rn_H%C3%B6cke', '/wiki/Nazi_human_experimentation', 'https://de.wikipedia.org/wiki/Benjamin_Hoff', 'https://de.wikipedia.org/wiki/Harald_Matthes', '/wiki/Anthroposophy', 'https://de.wikipedia.org/wiki/Leif_Erik_Sander', '/wiki/Placebo', 'https://de.wikipedia.org/wiki/Thomas_K._Bauer', '/wiki/RWI_Essen', '/wiki/Validity_%28statistics%29', '/wiki/Herpes', 'https://de.wikipedia.org/wiki/Gürtelrose']"
Gerücht über Geimpfte als „Superspreader“ und Ausscheider des Spike-Proteins,Genetische Impfstoffe,Falschinformationen über Corona-Gegenmaßnahmen,"['/wiki/Biotechnologie', '/wiki/Wochenblick', '/wiki/Infektionsverstärkende_Antikörper', '/wiki/Dengue-Virus', '/wiki/Lymphozytopenie', '/wiki/Lymphozyt']","['https://de.wikipedia.org/wiki/Biotechnologie', 'https://de.wikipedia.org/wiki/Wochenblick', 'https://de.wikipedia.org/wiki/Infektionsverstärkende_Antikörper', 'https://de.wikipedia.org/wiki/Dengue-Virus', 'https://de.wikipedia.org/wiki/Lymphozytopenie', 'https://de.wikipedia.org/wiki/Lymphozyt']",False information about Corona countermeasures,Genetic vaccines,"Rumor about vaccinated as a ""superpreader"" and excretion of the Spike protein","['https://en.wikipedia.org/wiki/Biotechnology', 'https://en.wikipedia.org/wiki/Wochenblick', 'https://en.wikipedia.org/wiki/Antibody-dependent_enhancement', 'https://en.wikipedia.org/wiki/Dengue_virus', 'https://de.wikipedia.org/wiki/Lymphozytopenie', 'https://en.wikipedia.org/wiki/Lymphocyte']","['/wiki/Biotechnology', '/wiki/Wochenblick', '/wiki/Antibody-dependent_enhancement', '/wiki/Dengue_virus', 'https://de.wikipedia.org/wiki/Lymphozytopenie', '/wiki/Lymphocyte']"
Inhaltsstoffe,Genetische Impfstoffe,Falschinformationen über Corona-Gegenmaßnahmen,"['/wiki/Abtreibung', '/wiki/Bristol_University', '/wiki/Embryonale_Stammzelle', '/wiki/Halāl', '/wiki/Jüdische_Speisegesetze', '/wiki/Gelatine']","['https://de.wikipedia.org/wiki/Abtreibung', 'https://de.wikipedia.org/wiki/Bristol_University', 'https://de.wikipedia.org/wiki/Embryonale_Stammzelle', 'https://de.wikipedia.org/wiki/Halāl', 'https://de.wikipedia.org/wiki/Jüdische_Speisegesetze', 'https://de.wikipedia.org/wiki/Gelatine']",False information about Corona countermeasures,Genetic vaccines,ingredients,"['https://de.wikipedia.org/wiki/Abtreibung', 'https://de.wikipedia.org/wiki/Bristol_University', 'https://de.wikipedia.org/wiki/Embryonale_Stammzelle', 'https://en.wikipedia.org/wiki/Halal', 'https://en.wikipedia.org/wiki/Kashrut', 'https://en.wikipedia.org/wiki/Gelatin']","['https://de.wikipedia.org/wiki/Abtreibung', 'https://de.wikipedia.org/wiki/Bristol_University', 'https://de.wikipedia.org/wiki/Embryonale_Stammzelle', '/wiki/Halal', '/wiki/Kashrut', '/wiki/Gelatin']"
Behauptung der vorgetäuschten öffentlichen Impfungen,Genetische Impfstoffe,Falschinformationen über Corona-Gegenmaßnahmen,"['/wiki/Kamala_Harris', '/wiki/Oberpfalz_TV', '/wiki/Landkreis_Tirschenreuth', '/wiki/Roland_Grillmeier', '/wiki/Facebook', '/wiki/Telegram', '/wiki/Waldsassen']","['https://de.wikipedia.org/wiki/Kamala_Harris', 'https://de.wikipedia.org/wiki/Oberpfalz_TV', 'https://de.wikipedia.org/wiki/Landkreis_Tirschenreuth', 'https://de.wikipedia.org/wiki/Roland_Grillmeier', 'https://de.wikipedia.org/wiki/Facebook', 'https://de.wikipedia.org/wiki/Telegram', 'https://de.wikipedia.org/wiki/Waldsassen']",False information about Corona countermeasures,Genetic vaccines,Assertion of the fake public vaccinations,"['https://en.wikipedia.org/wiki/Kamala_Harris', 'https://de.wikipedia.org/wiki/Oberpfalz_TV', 'https://en.wikipedia.org/wiki/Tirschenreuth_%28district%29', 'https://de.wikipedia.org/wiki/Roland_Grillmeier', 'https://en.wikipedia.org/wiki/Facebook', 'https://en.wikipedia.org/wiki/Telegram_%28software%29', 'https://en.wikipedia.org/wiki/Waldsassen']","['/wiki/Kamala_Harris', 'https://de.wikipedia.org/wiki/Oberpfalz_TV', '/wiki/Tirschenreuth_%28district%29', 'https://de.wikipedia.org/wiki/Roland_Grillmeier', '/wiki/Facebook', '/wiki/Telegram_%28software%29', '/wiki/Waldsassen']"
Corona-Maßnahmen in Schweden,Corona-Maßnahmen in Schweden,Falschinformationen über Corona-Gegenmaßnahmen,"['/wiki/COVID-19-Pandemie_in_Schweden#Maßnahmen', '/wiki/Narrativ_(Sozialwissenschaften)', '/wiki/Herdenimmunität']","['https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Schweden#Maßnahmen', 'https://de.wikipedia.org/wiki/Narrativ_(Sozialwissenschaften)', 'https://de.wikipedia.org/wiki/Herdenimmunität']",False information about Corona countermeasures,Corona measures in Sweden,Corona measures in Sweden,"['https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Sweden', 'https://de.wikipedia.org/wiki/Narrativ_(Sozialwissenschaften)', 'https://de.wikipedia.org/wiki/Herdenimmunität']","['/wiki/COVID-19_pandemic_in_Sweden', 'https://de.wikipedia.org/wiki/Narrativ_(Sozialwissenschaften)', 'https://de.wikipedia.org/wiki/Herdenimmunität']"
Aussagekraft von Antigentests,Aussagekraft von Antigentests,Falschinformationen über Corona-Gegenmaßnahmen,"['/wiki/COVID-19#Antigen-Schnelltests', '/wiki/PH-Wert', '/wiki/Pufferlösung']","['https://de.wikipedia.org/wiki/COVID-19#Antigen-Schnelltests', 'https://de.wikipedia.org/wiki/PH-Wert', 'https://de.wikipedia.org/wiki/Pufferlösung']",False information about Corona countermeasures,Meaning value of anti -tiger tests,Meaning value of anti -tiger tests,"['https://en.wikipedia.org/wiki/COVID-19', 'https://en.wikipedia.org/wiki/PH', 'https://de.wikipedia.org/wiki/Pufferlösung']","['/wiki/COVID-19', '/wiki/PH', 'https://de.wikipedia.org/wiki/Pufferlösung']"
Angeblich hohe Inzidenz unter Geimpften,Angeblich hohe Inzidenz unter Geimpften,Falschinformationen über Corona-Gegenmaßnahmen,"['/wiki/Gibraltar', '/wiki/Verschwörungstheoretiker']","['https://de.wikipedia.org/wiki/Gibraltar', 'https://de.wikipedia.org/wiki/Verschwörungstheoretiker']",False information about Corona countermeasures,Supposedly high incidence of vaccinated,Supposedly high incidence of vaccinated,"['https://en.wikipedia.org/wiki/Gibraltar', 'https://de.wikipedia.org/wiki/Verschwörungstheoretiker']","['/wiki/Gibraltar', 'https://de.wikipedia.org/wiki/Verschwörungstheoretiker']"
